Consistency Check|Heuristic Check|   Variable Selection   |Value Selection Heuristic| Average Runtime | Avg Assign |  Avg Back  | Easy |  Med | Hard |
 ArcConsistency  |  NakedPairs   |          None          |          None           |      2710       |    3882    |    3856    |  40  | 100  |  80  | 
 ArcConsistency  |  NakedPairs   |          None          | LeastConstrainingValue  |      1261       |    1357    |    1331    |  60  |  60  |  80  | 
 ArcConsistency  |  NakedPairs   | MinimumRemainingValue  |          None           |      2427       |    2395    |    2370    | 100  | 100  | 100  | 
 ArcConsistency  |  NakedPairs   | MinimumRemainingValue  | LeastConstrainingValue  |      2220       |    2159    |    2132    | 100  | 100  | 100  | 
 ArcConsistency  |  NakedPairs   |         Degree         |          None           |      2105       |    6207    |    6200    | 100  |  40  |  0   | 
 ArcConsistency  |  NakedPairs   |         Degree         | LeastConstrainingValue  |       119       |    325     |    323     |  80  |  20  |  0   | 
 ArcConsistency  | NakedTriples  |          None          |          None           |      5497       |    7612    |    7587    |  60  | 100  |  80  | 
 ArcConsistency  | NakedTriples  |          None          | LeastConstrainingValue  |      2020       |    2421    |    2398    | 100  |  80  |  60  | 
 ArcConsistency  | NakedTriples  | MinimumRemainingValue  |          None           |      5394       |    5616    |    5590    |  80  | 100  | 100  | 
 ArcConsistency  | NakedTriples  | MinimumRemainingValue  | LeastConstrainingValue  |       762       |    765     |    739     | 100  | 100  |  60  | 
 ArcConsistency  | NakedTriples  |         Degree         |          None           |      3655       |   10241    |   10233    | 100  |  40  |  0   | 
 ArcConsistency  | NakedTriples  |         Degree         | LeastConstrainingValue  |       410       |    1126    |    1113    |  80  |  60  |  0   | 
 ArcConsistency  |     Both      |          None          |          None           |      2861       |    2948    |    2919    |  20  | 100  | 100  | 
 ArcConsistency  |     Both      |          None          | LeastConstrainingValue  |      1135       |    915     |    895     | 100  |  60  | 100  | 
 ArcConsistency  |     Both      | MinimumRemainingValue  |          None           |       842       |    592     |    570     | 100  | 100  | 100  | 
 ArcConsistency  |     Both      | MinimumRemainingValue  | LeastConstrainingValue  |       835       |    600     |    577     | 100  | 100  | 100  | 
 ArcConsistency  |     Both      |         Degree         |          None           |       378       |    801     |    792     | 100  |  60  |  0   | 
 ArcConsistency  |     Both      |         Degree         | LeastConstrainingValue  |       588       |    1281    |    1273    | 100  |  40  |  0   | 
